Title,Description
Magnetic Rose,"""Magnetic Rose"" is about what happens when a deep space corporate freighter is called upon to investigate a distress signal from what ought to be a derelict space station."
Secrets & Lies,"After her adoptive mother dies, Hortense, a successful black optometrist, seeks out her birth mother. She's shocked when her research leads her to Cynthia, a working class white woman."
Nostalgia,"A Russian poet, Andrei and his interpreter, Eugenia travel to Italy to research the life of an 18th-century composer."
Takopi's Original Sin,"A Happy alien, Takopi, lands on Earth with one mission: to spread happiness! When he meets Shizuka, a lonely fourth grader, he vows to bring back her smile using his magical Happy Gadgets. But as he uncovers the pain in her life, Takopi learns that true happiness may require more than gadgets."
Black Is… Black Ain’t,"African-American documentary filmmaker Marlon Riggs was working on this final film as he died from AIDS-related complications in 1994; he addresses the camera from his hospital bed in several scenes. The film directly addresses sexism and homophobia within the black community, with snippets of misogynistic and anti-gay slurs from popular hip-hop songs juxtaposed with interviews with African-American intellectuals and political theorists, including Cornel West, bell hooks and Angela Davis."
The Man Who Shot Liberty Valance,"Questions arise when Senator Stoddard attends the funeral of a local man named Tom Doniphon in a small Western town. Flashing back, we learn Doniphon saved Stoddard, then a lawyer, when he was roughed up by a crew of outlaws terrorizing the town, led by Liberty Valance. As the territory's safety hung in the balance, Doniphon and Stoddard, two of the only people standing up to him, proved to be very important, but different, foes to Valance."
Akira,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop.
Emicida: AmarElo - It's All for Yesterday,"Between scenes from his concert in São Paulo's oft-inaccessible Theatro Municipal, rapper and activist Emicida celebrates the rich legacy of Black Brazilian culture."
Prehistoric Planet,"Experience the wonders of our world like never before in this epic series from Jon Favreau and the producers of Planet Earth. Travel back 66 million years to when majestic dinosaurs and extraordinary creatures roamed the lands, seas, and skies."
8½,"Guido Anselmi, a film director, finds himself creatively barren at the peak of his career. Urged by his doctors to rest, Anselmi heads for a luxurious resort, but a sorry group gathers—his producer, staff, actors, wife, mistress, and relatives—each one begging him to get on with the show. In retreat from their dependency, he fantasizes about past women and dreams of his childhood."
BTS World Tour: Love Yourself in Seoul,Shot at the Olympic Stadium in Seoul during the BTS World Tour ‘Love Yourself’ to celebrate the seven members of the global boyband and their unprecedented international phenomenon.
The Rise of the Nutters,"With Hugh in Australia and Glenn in Wales, Ollie is left in charge, feeding policies to junior minister Ben Swain. He is one of the 'Nutters', the group keen to take power when the P.M. resigns and keen to make a name for himself - which he does in the wrong sense when Jeremy Paxman skewers him on 'Newsnight'. This is music to Tucker's ears as it is in his interest for the P.M. to remain in power for as long as he can. Ollie's new girlfriend Emma is working for Shadow Minister Peter Mannion and hopes to impress by stealing one of Ollie's idea for use on their immigration policy though things do not go fully to plan."
Fellow Travelers,A chronicle of a decades-long volatile romance between two men — from their first meeting during the height of the 1950s Lavender Scare to the AIDS crises of the 1980s.
Isle of Flowers,"A tomato is planted, harvested and sold at a supermarket, but it rots and ends up in the trash. But it doesn’t end there: Isle of Flowers follows it up until its real end, among animals, trash, women and children. And then the difference between tomatoes, pigs and human beings becomes clear."
D.P.,A young private's assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
2000 Meters to Andriivka,"Amid the failing counteroffensive, a journalist follows a Ukrainian platoon on their mission to traverse one mile of heavily fortified forest and liberate a strategic village from Russian occupation. But the farther they advance through their destroyed homeland, the more they realize that this war may never end."
Adventure Time: Islands,"In this eight-part series, Finn meets other humans and an important member of his family for the first time."
2015 BTS Live The Most Beautiful Moment in Life (花樣年華) On Stage,"The Most Beautiful Moment in Life On Stage Tour, also known as the 2015 BTS LIVE ""The Most Beautiful Moment in Life On Stage"", was the third concert tour headlined by South Korean boy band BTS to promote their The Most Beautiful Moment in Life series, including their EP's The Most Beautiful Moment Life, Pt.1, Pt. 2 (2015) and the compilation album The Most Beautiful Moment in Life: Young Forever (2016)."
Company: A Musical Comedy,"Set in modern upper-crust Manhattan, an exploration of love and commitment as seen through the eyes of a charming perpetual bachelor questioning his single state and his enthusiastically married, slightly envious friends."
Love In The Big City,"A young gay man and his spirited roommate help each other navigate love, mortality and sexuality in the bustling city of Seoul."
Great Teacher Onizuka,"A former gang member wants to be Japan's best teacher. When he's hired to supervise a class of hopeless cases, it's his chance to prove himself."
Land of the Lustrous,"In the mysterious future, crystalline organisms called Gems inhabit a world that has been destroyed by six meteors. Each Gem is assigned a role in order to fight against the Lunarians, a species who attacks them in order to shatter their bodies and use them as decorations."
"Life, and Nothing More…","After the earthquake of Guilan, a film director and his son travel to the devastated area to search for the actors from the movie the director made there a few years previously. In their search, they see how people who have lost everything in the earthquake still have hope and try to live life to the fullest."
Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications."
Game of Thrones: The Story So Far,The story of Game Of thrones before the TV series.
Throne of Blood,"Returning to their lord's castle, samurai warriors Washizu and Miki are waylaid by a spirit who predicts their futures. When the first part of the spirit's prophecy comes true, Washizu's scheming wife, Asaji, presses him to speed up the rest of the spirit's prophecy by murdering his lord and usurping his place. Director Akira Kurosawa's resetting of William Shakespeare's ""Macbeth"" in feudal Japan is one of his most acclaimed films."
Brighter Days Ahead,"A short film accompanying the deluxe edition of ""Eternal Sunshine,"" marking Ariana Grande’s directorial debut. Peaches, now elderly, revisits Brighter Days Inc. to relive idealized versions of her memories before they are destroyed forever. Inspired by the film ""Eternal Sunshine of the Spotless Mind"" and a sequel to the ""We Can't Be Friends"" music video."
Eureka,"In rural Japan, the survivors of a tragedy converge and attempt to overcome their damaged selves, all while a serial killer is on the loose."
The Untamed,"In a magical world of inter-clan rivalry, two soulmates face treacherous schemes and uncover a dark mystery linked to a tragic event in the past."
Man with a Movie Camera,"A cameraman wanders around with a camera slung over his shoulder, documenting urban life with dazzling inventiveness."
A Charlie Brown Christmas,"When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but it is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas."
Malcolm X,"A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride."
Ace in the Hole,An arrogant reporter exploits a story about a man trapped in a cave to revitalize his career.
The Iron Giant,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices."
Dynasties,"Follow the true stories of five of the world's most celebrated, yet endangered animals; penguins, chimpanzees, lions, painted wolves and tigers. Each in a heroic struggle against rivals and against the forces of nature, these families fight for their own survival and for the future of their dynasties."
Fight Club,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion."
Beforel Orel: Trust,The story of Orel before Moral Orel
My Uncle Napoleon,"An uproarious adoption of a popular novel by Iraj Pezeshkzad set in and around the family compound in early 1940s Tehran, marvelously rich in personality and incident. The title character, so-called because of his constant invocation of the general, rules over a wonderfully complex extended family. A hilarious series which makes fun of just about everything."
Cure,A detective starts spiraling out of control when a wave of gruesome murders with seemingly similar bizarre circumstances is sweeping Tokyo.
Azur & Asmar: The Princes' Quest,"Raised on tales of a Djinn fairy princess, Azur, a young Frenchman goes to North Africa in search of the sprite, only to discover that his close childhood friend, Asmar, an Arab youth whose mother raised both boys also seeks the genie."
Paranoia Agent,"Musashino, Tokyo. An elementary schooler repeatedly attacks people in the streets. Known only to the public as ""Lil Slugger"", none of the victims can recall the young boy's face and only three distinct details are left in their memories: golden inline skates, a baseball cap, and the weapon: a bent golden baseball bat. Detectives Ikari and Maniwa set out to track down the perpetrator and put an end to his crimes."
Daily Dose of Sunshine,"A kind-hearted nurse working in psychiatry goes above and beyond to be a ray of light for those under her care, despite the challenges coming her way."
Devils on the Doorstep,"During the Japanese occupation of China, two prisoners are dumped in a peasant's home in a small town. The owner is bullied into keeping the prisoners until the next New Year, at which time they will be collected. The village leaders convene to interrogate the prisoners. The townspeople then struggle to accommodate the prisoners. One is a bellicose Japanese nationalist, the other a nervous translator. Will the townspeople manage to keep the prisoners until the New Year?"
Blue Weekend,"Set on a night out, UK rock band Wolf Alice decided to bring the music of their album Blue Weekend to life with this film."
Puella Magi Madoka Magica the Movie Part III: Rebellion,"Following Madoka's rewriting of the universe, sacrificing herself and her happy normal days to save all magical girls from the cruel fate that awaited them by wiping witches out of existence, the despair still manifest into creatures known as nightmares. Magical girl Homura Akemi continues to fight alone in the hope that she will be able to see Madoka smile again."
La Dolce Vita,"Episodic journey of journalist Marcello who struggles to find his place in the world, torn between the allure of Rome's elite social scene and the stifling domesticity offered by his girlfriend, all the while searching for a way to become a serious writer."
"M*A*S*H: Goodbye, Farewell and Amen","This feature-length film is the last episode of the long-running television series M*A*S*H, which follows an army surgical team during the Korean War. After years of serving together, the close-knit unit is about to be disbanded. Capt. ""Hawkeye"" Pierce (Alan Alda) is recovering from a nervous breakdown, while his friends, like easygoing Capt. B.J. Hunnicut (Mike Farrell) and uptight Maj. Charles Winchester (David Ogden Stiers), deal with the impending change in their own ways."
Some Like It Hot,Two musicians witness a mob hit and need to quickly find a way out of Chicago. Their only opportunity comes in the form of joining an all-girl band as they prepare to leave on a tour. The two disguise themselves as women and struggle to keep their identities secret as the gangsters close in.
My Liberation Notes,"Three siblings, exhausted by the monotony of day-to-day adulthood, seek to find fulfillment and freedom from their unremarkable lives."
Attack on Titan: No Regrets,"Many years before becoming the famed captain of the Survey Corps, a young Levi struggles to survive in the capital's garbage dump, the Underground. As the boss of his own criminal operation, Levi attempts to get by with meager earnings while aided by fellow criminals, Isabel Magnolia and Farlan Church. With little hope for the future, Levi accepts a deal from the anti-expedition faction leader Nicholas Lobov, who promises the trio citizenship aboveground if they are able to successfully assassinate Erwin Smith, a squad leader of the Survey Corps."
ODDTAXI,"While working as a taxi driver on the hectic streets of Tokyo, a reticent walrus gets pulled into a mystery involving a missing teenage girl."
Who's Afraid of Virginia Woolf?,"A history professor and his wife entertain a young couple who are new to the university's faculty. As the drinks flow, secrets come to light, and the middle-aged couple unload onto their guests the full force of the bitterness, dysfunction, and animosity that defines their marriage."
The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences."
Solange: When I Get Home,"In the three years since her seminal album ""A Seat at the Table"", Solange has broadened her artistic reach, expanding her work to museum installations, unconventional live performances, and striking videos. With her fourth album, ""When I Get Home"", the singer continues to push her vision forward with an exploration of roots and their lifelong influence. In Solange's case, that's the culturally rich Houston of her childhood. Some will know these references - candy paint, the late legend DJ Screw - via the city's mid-aughts hip-hop explosion, but through Solange's lens, these same touchstones are elevated to high art."
Kadaisi Vivasayi,"Maayandi, the only farmer in a village that has abandoned farming, is charged with a petty case that leads to his imprisonment."
We All Loved Each Other So Much,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond."
The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution."
Look Back,"Popular, outgoing Fujino is celebrated by her classmates for her funny comics in the class newspaper. One day, her teacher asks her to share the space with Kyomoto, a truant recluse whose beautiful artwork sparks a competitive fervor in Fujino. What starts as jealousy transforms when Fujino realizes their shared passion for drawing."
Timelapse of the Future: A Journey to the End of Time,"How's it all gonna end? This experience takes us on a journey to the end of time, trillions of years into the future, to discover what the fate of our planet and our universe may ultimately be. We start in 2019 and travel exponentially through time, witnessing the future of Earth, the death of the sun, the end of all stars, proton decay, zombie galaxies, possible future civilizations, exploding black holes, the effects of dark energy, alternate universes, the final fate of the cosmos - to name a few."
Harry Styles: Live in Manchester,"Harry Styles performs new tracks from his number one debut album as a solo artist, alongside covers of classic songs. He's accompanied by his band and performs in front of a live studio audience."
The Company of Strangers,"A busload of women become stranded in an isolated part of the Canadian countryside. As they await rescue, they reflect on their lives through a mostly ad-libbed script."
One Love Manchester,"Live coverage of the concert set up by Ariana Grande at Old Trafford cricket ground to benefit those affected by the May 2017 Manchester bomb attack. Performers include Ariana Grande, Justin Bieber, Coldplay, Katy Perry, Take That, Pharrell Williams, Niall Horan, Miley Cyrus, Usher, Robbie Williams, Little Mix and The Black Eyed Peas."
Mussolini: Son of the Century,"The rise of Benito Mussolini and the birth of fascism in Italy, chronicling a country’s surrender to dictatorship and the relentless ascent of a man who rose from his ashes time and again."
"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles","A lonely widowed housewife does her daily chores and takes care of her apartment where she lives with her teenage son, and turns the occasional trick to make ends meet. Slowly, her ritualized daily routines begin to fall apart."
Nightless Night,Hard-boiled detective finds himself entangled with a strange cult and macabre rituals.
LINK CLICK,"Using superpowers to enter their clientele’s photos one by one, Cheng Xiaoshi and Lu Guang take their work seriously at “Time Photo Studio,” a small photography shop set in the backdrop of a modern metropolis. Each job can be full of danger, but nothing is more important than fulfilling every order, no matter the scale…or peril involved!"
John Mulaney: New in Town,"Stand-up comedian John Mulaney tackles such red-hot topics as quicksand, Motown singers and an elderly man he once met in a bathroom."
Rite Here Rite Now,"Whether you’re a devoted disciple looking to relive treasured memories of the GHOST live spectacle or among the curious uninitiated, RITE HERE RITE NOW will put you right there: putting your phones down and living in the moment—as a shadow of uncertainty looms—completely spellbound and in the thrall of this bombastic yet intimate cinematic portrait of GHOST."
"It's Never Over, Jeff Buckley","Rising musician Jeff Buckley had only released one album when he died suddenly in 1997. Now, never-before-seen footage, exclusive voice messages, and accounts from those closest to him offer a portrait of the captivating singer."
Princess Tutu,"Princess Tutu follows Duck, a duck who was transformed into a young girl and takes ballet at a private school. She becomes enamoured of her mysterious schoolmate Mytho, and transforms into Princess Tutu to restore his shattered heart. Mytho's girlfriend Rue transforms into Princess Kraehe to frustrate Tutu's efforts, and Mytho's protective friend Fakir discourages Mytho's burgeoning emotions. When it becomes apparent that Duck, Rue, Mytho, and Fakir are meant to play out the characters in a story by a long-dead writer named Drosselmeyer, they resist their assigned fates and fight to keep the story from becoming a tragedy."
Africa,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife."
Rififi,"Out of prison after a five-year stretch, jewel thief Tony turns down a quick job his friend Jo offers him, until he discovers that his old girlfriend Mado has become the lover of local gangster Pierre Grutter during Tony's absence. Expanding a minor smash-and-grab into a full-scale jewel heist, Tony and his crew appear to get away clean, but their actions after the job is completed threaten the lives of everyone involved."
The Second Night,"On the death of his mother, a filmmaker makes a film to see how much her disappearance has changed his vision of the world. It is an opportunity for him to look back over his relationship with her: a relationship that made him a free individual, as a man and as a filmmaker. The second night is the final part of a trilogy that began with Letter from a filmmaker to his daughter, which was followed by Dreaming films. The making of this "" Cabin Trilogy"" is the fruit of fifteen years of work and reflection."
The Gay and Wondrous Life of Caleb Gallo,"A wondrous story of the complexities of relationships, friendly and romantic that blurs the lines of expected tropes through random comedy and realistic, interconnected interactions."
A Very Special Supernatural Special,
The Voice of Hind Rajab,"January 29, 2024. Red Crescent volunteers receive an emergency call. A 6-year old girl is trapped in a car under fire in Gaza, pleading for rescue. While trying to keep her on the line, they do everything they can to get an ambulance to her. Her name was Hind Rajab."
BOCCHI THE ROCK!,"Hitori Gotoh, a shy, awkward, and lonely high school student dreams of being in a band despite her doubts and worries, but when she is recruited to be the guitarist of a group looking to make it big, she realises her dream may be able to be fulfilled and come true."
Ugetsu,"In 16th century Japan, peasants Genjuro and Tobei sell their earthenware pots to a group of soldiers in a nearby village, in defiance of a local sage's warning against seeking to profit from warfare. Genjuro's pursuit of both riches and the mysterious Lady Wakasa, as well as Tobei's desire to become a samurai, run the risk of destroying both themselves and their wives, Miyagi and Ohama."
Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time.."
Network,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings."
Warp Speed Chic,"A short film delving into the creation of Arctic Monkeys' ""Tranquility Base Hotel & Casino""."
Fail Safe,Because of a technical defect an American bomber team mistakenly orders the destruction of Moscow. The President of the United States has but little time to prevent an atomic catastrophe from occurring.
Ritual,"A disillusioned filmmaker has an encounter with a young woman who has a ritual of repeating ""Tomorrow is my birthday"" everyday. He tries to communicate with her through his video camera."
2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."
Crash Landing on You,"A paragliding mishap drops a South Korean heiress in North Korea -- and into the life of an army officer, who decides he will help her hide."
Sorcerer,"Four men from different parts of the globe, all hiding from their pasts in the same remote South American town, agree to risk their lives transporting several cases of dynamite (which is so old that it is dripping unstable nitroglycerin) across dangerous jungle terrain."
Mary and Max,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York."
A Matter of Life and Death,"A British wartime aviator who cheats death must argue for his life before a celestial court, hoping to prolong his fledgling romance with an American girl."
The Night of the Hunter,"In Depression-era West Virginia, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money."
Beyoncé: The Experience Live,"""The Beyoncé Experience Live"" is a show by American R&B singer Beyoncé Knowles. It was shot in Staples Center, Los Angeles, California, on September 2, 2007, during her worldwide tour The Beyoncé Experience. The show features guest appearances from rapper Jay-Z on ""Upgrade U"" and former Destiny's Child mates Michelle Williams and Kelly Rowland on ""Survivor"". For one night only on November 19, 2007, the show was shown in theaters across the U.S."
Mulholland Drive,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project."
Mr. Sunshine,"Set in the early 1900s, this drama tells the story of a young man from Korea who grows up in the United States. When he returns to Korea as a US Marine Corps officer, he meets and falls in love with a noblewoman who is fighting for Korean independence. Their romance is complicated by social class and political ideology."
The War,"The story of the Second World War through the personal accounts of a handful of men and women from four American towns. The war touched the lives of every family on every street in every town in America and demonstrated that in extraordinary times, there are no ordinary lives."
Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes."
Double Indemnity,A seductive housewife draws an insurance salesman into a plot of adultery and crime to collect on her husband's life insurance.
Into the Woods,"In a woods filled with magic and fairy tale characters, a baker and his wife set out to end the curse put on them by their neighbor, a spiteful witch."
David Byrne's American Utopia,"A filmed version of David Byrne's Broadway show, a unifying musical celebration that inspires audiences to connect to each other and to the global community."
The Man Who Planted Trees,The story of one shepherd's single-handed quest to re-forest a desolate valley in the foothills of the French Alps throughout the first half of the 20th century.
The Encampments,"Students flooded Columbia University’s lawn to create the Gaza Solidarity Encampment in order to pressure their university to divest from the US and Israeli weapons companies. The film follows the central organizers of the encampment as they are thrust into the spotlight, face violent police repression and suspension, congressional pressure, and a media firestorm, all while fighting to attain their goal of divestment at any cost."
Tongues Untied,"Marlon Riggs, with assistance from other gay Black men, especially poet Essex Hemphill, celebrates Black men loving Black men as a revolutionary act. The film intercuts footage of Hemphill reciting his poetry, Riggs telling the story of his growing up, scenes of men in social intercourse and dance, and various comic riffs, including a visit to the ""Institute of Snap!thology,"" where men take lessons in how to snap their fingers: the sling snap, the point snap, the diva snap."
Disney Channel's Theme: A History Mystery,"In this DefunctTV special, Kevin Perjurer investigates the origin of the four-note theme that has been used on Disney Channel for the past two decades."
Joe Pera Talks You to Sleep,Joe Pera makes an honest attempt to talk you to sleep using mild jokes and low-key stories.
The Century of the Self,"The legacy of famed psychoanalyst Sigmund Freud informs the lives of people throughout the world even to this day, though it's a phenomenon to which most are unaware. The film is an exhaustive examination of his theories on human desire, and how they're applied to platforms such as advertising, consumerism and politics."
The Tale of The Princess Kaguya,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate."
Supernatural: The End of the Road,
The Salt of the Earth,"During the last forty years, the photographer Sebastião Salgado has been travelling through the continents, in the footsteps of an ever-changing humanity. He has witnessed the major events of our recent history: international conflicts, starvations and exodus… He is now embarking on the discovery of pristine territories, of the wild fauna and flora, of grandiose landscapes: a huge photographic project which is a tribute to the planet's beauty. Salgado's life and work are revealed to us by his son, Juliano, who went with him during his last journeys, and by Wim Wenders, a photographer himself."
Aparajito,"Apu and his family have moved away from the country to live in the bustling holy city of Benares. As he progresses from wide-eyed child to intellectually curious teenager, eventually studying in Kolkata, we witness his academic and moral education, as well as the growing complexity of his relationship with his mother."
Can't Get You Out of My Head,"In six films, Adam Curtis traces the different forces across the world that have led to now. It covers a wide range—including the strange roots of modern conspiracy theories, the history of China, opium and opioids, the history of Artificial Intelligence, melancholy over the loss of empire and, love and power. And explores whether modern culture, despite its radicalism, is really just part of the new system of power."
'Til Madness Do Us Part,"An insight into the everyday lives of 50 inmates of a mental institution in the Chinese province of Yunnan, who are there for killing someone, committing a crime against a public official, or have a developmental disability."
Song of the Sea,"The story of the last Seal Child’s journey home. After their mother’s disappearance, Ben and Saoirse are sent to live with Granny in the city. When they resolve to return to their home by the sea, their journey becomes a race against time as they are drawn into a world Ben knows only from his mother’s folktales. But this is no bedtime story; these fairy folk have been in our world far too long. It soon becomes clear to Ben that Saoirse is the key to their survival."
Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,"Four talented alien musicians are kidnapped by a record producer who disguises them as humans. Shep, a space pilot in love with bass player Stella, follows them to Earth. Reprogrammed to forget their real identities and renamed The Crescendolls, the group quickly becomes a huge success playing soulless corporate pop. At a concert, Shep manages to free all the musicians except Stella, and the band sets out to rediscover who they really are — and to rescue Stella."
Dominion,"Exposing the dark underbelly of modern animal agriculture through drones, hidden & handheld cameras, the feature-length film explores the morality and validity of our dominion over the animal kingdom."
Talking Heads,"People of different age, profession and social status answer two simple questions: who they are and what they want from life."
Senna,"The remarkable story of Brazilian racing driver Ayrton Senna, charting his physical and spiritual achievements on the track and off, his quest for perfection, and the mythical status he has since attained, is the subject of Senna, a documentary feature that spans the racing legend's years as an F1 driver, from his opening season in 1984 to his untimely death a decade later."
The Gleaners and I,"Varda focuses her eye on gleaners: those who scour already-reaped fields for the odd potato or turnip. Her investigation leads from forgotten corners of the French countryside to off-hours at the green markets of Paris, following those who insist on finding a use for that which society has cast off, whether out of necessity or activism."
Angels in America,Follow six New Yorkers whose lives intersect amidst the AIDS crisis and the rapidly changing socio-political climate of 1985.
Umberto D.,"When elderly pensioner Umberto Domenico Ferrari returns to his boarding house from a protest calling for a hike in old-age pensions, his landlady demands her 15,000-lire rent by the end of the month or he and his small dog will be turned out onto the street. Unable to get the money in time, Umberto fakes illness to get sent to a hospital, giving his beloved dog to the landlady's pregnant and abandoned maid for temporary safekeeping."
Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed."
Meshes of the Afternoon,"A woman returning home falls asleep and has vivid dreams that may or may not be happening in reality. Through repetitive images and complete mismatching of the objective view of time and space, her dark inner desires play out on-screen."
Much Ado About Nothing,"Two young lovers, Claudio and Hero, are to be married imminently but the devious scheming of a resentful Prince looks set to thwart the nuptials. Meanwhile, marriage seems inconceivable for reluctant lovers Beatrice and Benedick whose endless witty sparring threatens to keep them apart forever. Directed by Josie Rourke, Artistic Director of the Donmar Warehouse, Much Ado About Nothing is one of Shakespeare’s great plays and reminds us all of the failings and triumphs of the human condition in our never ending search for perfect love."
Ice Merchants,"Every day, a father and his son jump with a parachute from their vertiginous cold house, attached to a cliff, to go to the village on the ground, far away where they sell the ice they produce daily."
Hamilton,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now."
Winter Light,"A Swedish pastor fails a loving woman, a suicidal fisherman and God."
Taylor Swift: The 1989 World Tour - Live,"Filmed in front of 76,000 fans at the ANZ Stadium in Sydney, Australia, ""The 1989 World Tour Live"" captures Taylor Swift's entire performance while also mixing in behind-the-scene, rehearsal, and special guest footage from her 1989 Tour."
Watchmen,"Set in an alternate history where “superheroes” are treated as outlaws, “Watchmen” embraces the nostalgia of the original groundbreaking graphic novel while attempting to break new ground of its own."
LIGHT & MAGIC,"When George Lucas set out to make Star Wars, little did he know he would end up revolutionizing an industry. This is the story of a team of creative geniuses who put the magic in the movies we love."
Metropolis,"In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences."
5 Broken Cameras,"Five broken cameras – and each one has a powerful tale to tell. Embedded in the bullet-ridden remains of digital technology is the story of Emad Burnat, a farmer from the Palestinian village of Bil’in, which famously chose nonviolent resistance when the Israeli army encroached upon its land to make room for Jewish colonists. Emad buys his first camera in 2005 to document the birth of his fourth son, Gibreel. Over the course of the film, he becomes the peaceful archivist of an escalating struggle as olive trees are bulldozed, lives are lost, and a wall is built to segregate burgeoning Israeli settlements."
Bring the Soul: The Movie,"A glimpse into K-pop group BTS’ world away from the stage, featuring intimate group discussions alongside spectacular concert performances from their world tour."
Pulp Fiction,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
Homeland: Iraq Year Zero,Chronicles of everyday life in Iraq before and after the U.S. invasion.
Michael Jackson: Live in Bucharest - The Dangerous Tour,"Michael Jackson's ""Dangerous Tour"" still sets the bar high for every touring artist today. Outdoing himself with the ""Bad Tour"", which was already considered the ultimate, the gigantic stage setting consisting of 20 trucks and a lavish arsenal of personnel took almost three days to set up - that alone is a logistical superlative for a worldwide tour with 69 concert stops and 3.5 million fans. The highlights of the show included pyrotechnic effects, several stage illusions and a stuntman. True to his aim of spreading love around the world, Jackson donated the proceeds from the tour (over $100 million) to charity. On October 1, 1992, the image and sound recordings that are hotly sought after by Jackson fans around the world were also made. The concert recording, which was broadcast on the HBO channel, picked up in 60 countries and also transmitted by countless radio stations, still inspires people around the globe."
Tropico,"Based on the Biblical story of sin and redemption, Adam and Eve explore modern LA; the land of gods and monsters."
Il Sorpasso,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested."
ONE IN A MILL10N,"In 2015, with the greeting ""ONE IN A MILL10N, TWICE!"", a new K-pop group stepped onto the world stage. From chart-topping anthems like ""CHEER UP,"" ""TT,"" ""What is Love?,"" ""FANCY,"" and ""Feel Special,"" TWICE captured hearts far beyond Korea, becoming a global phenomenon. This documentary follows their decade-long journey—countless hours of dedication, the dazzling spotlight of worldwide tours, and candid reflections on their growth, friendship, and even their dreams for the future. For ten years, brighter than any stage light, 'ONCE' has been at the very heart of their story. Through never-before-seen interviews and the heartfelt process of preparing a 10th anniversary celebration, the film reveals what TWICE has truly meant to one another—and to the fans who have walked beside them. On their 10th anniversary, 〈ONE IN A MILL10N〉 comes to the screen, revealing the true reason behind the existence of TWICE—a group like no other."
